circuit,qubits,two_qbit_original,two_qbit_compiled,compilation_time_s,error
3_17_13.qasm,3,9,9,0.22,9.05e-12
3_17_13.qasm,3,9,9,0.86,2.45e-11
3_17_13.qasm,3,9,7,13.21,6.16e-11
4gt11_82.qasm,5,15,13,6150.62,3.37e-12
4gt11_83.qasm,5,13,10,3524.45,6.82e-13
4gt11_84.qasm,5,9,8,876.31,1.16e-11
