circuit,qubits,two_qbit_original,two_qbit_compiled,compilation_time_s,error
3_17_13.qasm,3,9,7,52.90,1.81e-11
4gt11_82.qasm,5,15,13,4699.21,1.57e-13
4gt11_83.qasm,5,13,10,7242.10,2.53e-11
4gt11_84.qasm,5,9,8,831.77,6.89e-14
